"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
0.75,0.75,0.25,0.0399999999999636
1,1,0.5,0.0299999999997453
1,1,0.25,0.0499999999997272
0.75,0.75,0.25,0.0500000000001819
1.25,1.25,0.25,0.0499999999997272
1.75,1.75,0.25,0.0500000000001819
0.75,0.75,0.25,0.0500000000001819
1,1,0.25,0.0499999999997272
1,1,0,0.0500000000001819
0.5,0.5,0.5,0.0499999999997272
1.25,1.25,0.25,0.0599999999999454
1,1,0.25,0.0500000000001819
0.75,0.75,0.5,0.0499999999997272
1.5,1.5,0,0.0500000000001819
1.25,1.25,0.25,0.0500000000001819
1,1,0.25,0.0599999999999454
1.25,1.25,0,0.0499999999997272
1.25,1.25,0.25,0.0500000000001819
1,1,0.25,0.0299999999997453
1.25,1.25,0.25,0.0500000000001819
1.25,1.25,0,0.0299999999997453
1,1,0.25,0.0300000000002001
0.75,0.75,0.5,0.0300000000002001
1,1,0.25,0.0499999999997272
1,1,0.25,0.0599999999999454
1,1,0.25,0.0399999999999636
1.5,1.5,0.25,0.0799999999999272
1,1,0.25,0.0599999999999454
1,1,0.25,0.0499999999997272
0.25,0.25,0.75,0.0799999999999272
1.25,1.25,0,0.0500000000001819
1,1,0.25,0.0499999999997272
1,1,0,0.0500000000001819
1,1,0.25,0.0500000000001819
1.5,1.5,0.25,0.0399999999999636
0.75,0.75,0.25,0.0300000000002001
0.75,0.75,0.25,0.0499999999997272
1,1,0.25,0.0300000000002001
0.75,0.75,0.5,0.0399999999999636
1.25,1.25,0,0.0300000000002001
1,1,0.25,0.0500000000001819
1.5,1.5,0.25,0.0399999999999636
0.5,0.5,0.5,0.0499999999997272
1.5,1.5,0.25,0.0500000000001819
1.75,1.75,0,0.0799999999999272
1.25,1.25,0.25,0.0599999999999454
0.5,0.5,0.5,0.0599999999999454
1,1,0.5,0.0499999999997272
1,1,0.25,0.0500000000001819
1,1,0.25,0.0399999999999636
0.5,0.5,0.5,0.0499999999997272
0.75,0.75,0.5,0.0599999999999454
1,1,0.25,0.0300000000002001
1,1,0.25,0.0500000000001819
1,1,0.25,0.0599999999999454
1.25,1.25,0.25,0.0399999999999636
1.25,1.25,0.25,0.0399999999999636
0.75,0.75,0.25,0.0499999999997272
1,1,0.25,0.0300000000002001
0.5,0.5,0.5,0.0499999999997272
1.75,1.75,0.25,0.0500000000001819
1,1,0.5,0.0500000000001819
1.5,1.5,0.25,0.0299999999997453
1,1,0.5,0.0300000000002001
1,1,0.5,0.0399999999999636
0.75,0.75,0.5,0.0299999999997453
1,1,0,0.0500000000001819
1.5,1.5,0.25,0.0399999999999636
1,1,0.25,0.0299999999997453
0.75,0.75,0.5,0.0599999999999454
1.25,1.25,0.25,0.0300000000002001
1,1,0.5,0.0300000000002001
1,1,0.25,0.0299999999997453
1.25,1.25,0.25,0.0700000000001637
1.5,1.5,0,0.0700000000001637
1.75,1.75,0,0.0299999999997453
1,1,0.5,0.0500000000001819
0.75,0.75,0.25,0.0399999999999636
1,1,0.25,0.0299999999997453
1.25,1.25,0,0.0399999999999636
1.5,1.5,0.25,0.0399999999999636
1,1,0.5,0.0499999999997272
1.25,1.25,0.25,0.0499999999997272
1.25,1.25,0.25,0.0500000000001819
1,1,0.25,0.0500000000001819
1.5,1.5,0.25,0.0499999999997272
0.75,0.75,0.25,0.0399999999999636
0.5,0.5,0.5,0.0700000000001637
1.5,1.5,0.25,0.0399999999999636
1,1,0.25,0.0300000000002001
1.25,1.25,0.25,0.0299999999997453
1,1,0.25,0.0500000000001819
1,1,0.25,0.0499999999997272
0.75,0.75,0.25,0.0500000000001819
1.5,1.5,0.25,0.0399999999999636
1.25,1.25,0.25,0.0299999999997453
0.75,0.75,0.25,0.0300000000002001
1.25,1.25,0.25,0.0500000000001819
1,1,0.25,0.0499999999997272
0.75,0.75,0.5,0.0500000000001819
